Tumor_Sample,Total Mutation Burden ,TYPE,Name
MB-REC-26 -R,39.4594595,RECURRENT,Tumor1
MB-REC-44 -R,37.4774775,RECURRENT,Tumor10
ABSJ112017MB13-P,24.71641791,PRIMARY,Tumor11
ABSJ112017MB22-P     ,12.46268657,PRIMARY,Tumor12
MB-REC-06 -P,11.5015015,PRIMARY,Tumor13
MB-REC-06 -R,9.51951952,RECURRENT,Tumor13-R
MB-REC-16 -R,6.936936937,RECURRENT,Tumor14-R
MB-REC-16 -P,6.456456456,PRIMARY,Tumor14
ABSJ052018CHTN-4-P,5.358208955,PRIMARY,Tumor15
MB-REC-11 -P,1.741741742,PRIMARY,Tumor2
MB-REC-11 -R,3.513513514,RECURRENT,Tumor2-R
MB-REC-14 -P,1.561561562,PRIMARY,Tumor3
MB-REC-14 -R,3.033033033,RECURRENT,Tumor3-R
MB-REC-09 -R,2.312312312,RECURRENT,Tumor4-R
MB-REC-32 -R,2.132132132,RECURRENT,Tumor5
MB-REC-42 -R,2.192192192,RECURRENT,Tumor6
MB-REC-45 -R,2.162162162,RECURRENT,Tumor7
MB-REC-10 -R,1.381381381,RECURRENT,Tumor8-R
MB-REC-02 -R,0.960960961,RECURRENT,Tumor9-R
MB-REC-41 -R,0.660660661,RECURRENT,Tumor16
MB-REC-03 -R,0.45045045,RECURRENT,Tumor17-R
MB-REC-07 -R,1.321321321,RECURRENT,Tumor18-R
MB-REC-08 -R,1.741741742,RECURRENT,Tumor19-R
MB-REC-04 -R,1.771771772,RECURRENT,Tumor20-R
MB-REC-13 -R,1.981981982,RECURRENT,Tumor21-R
MB-REC-12 -R,1.381381381,RECURRENT,Tumor22-R
MB-REC-15 -R,1.201201201,RECURRENT,Tumor23-R
MB-REC-30 -R,1.501501502,RECURRENT,Tumor24
MB-REC-24 -R,1.441441441,RECURRENT,Tumor25
MB-REC-01 -R,1.261261261,RECURRENT,Tumor26
MB-REC-28 -R,1.201201201,RECURRENT,Tumor27
MB-REC-39 -R,1.201201201,RECURRENT,Tumor28
MB-REC-23 -R,0.720720721,RECURRENT,Tumor29
MB-REC-18 -R,0.900900901,RECURRENT,Tumor30
MB-REC-47 -R,1.711711712,RECURRENT,Tumor31
MB-REC-27 -R,1.111111111,RECURRENT,Tumor32
MB-REC-34 -R,1.591591592,RECURRENT,Tumor33
MB-REC-40 -R,1.651651652,RECURRENT,Tumor34
MB-REC-33 -R,1.591591592,RECURRENT,Tumor35
MB-REC-31 -R,1.351351351,RECURRENT,Tumor36
MB-REC-46 -R,1.261261261,RECURRENT,Tumor37
MB-REC-22 -R,0.960960961,RECURRENT,Tumor38
MB-REC-35 -R,0.630630631,RECURRENT,Tumor39
MB-REC-19 -R,0.690690691,RECURRENT,Tumor40
MB-REC-43 -R,0.960960961,RECURRENT,Tumor41
MB-REC-21 -R,0.960960961,RECURRENT,Tumor42
MB-REC-29 -R,0.600600601,RECURRENT,Tumor43
MB-REC-04 -P,1.411411411,PRIMARY,Tumor20
MB-REC-05 -P,1.141141141,PRIMARY,Tumor49
MB-REC-15 -P,1.171171171,PRIMARY,Tumor23
MB-REC-09 -P,0.840840841,PRIMARY,Tumor4
MB-REC-02 -P,0.750750751,PRIMARY,Tumor9
MB-REC-12 -P,0.42042042,PRIMARY,Tumor22
MB-REC-03 -P,0.39039039,PRIMARY,Tumor17
MB-REC-08 -P,0.45045045,PRIMARY,Tumor19
MB-REC-13 -P,0.540540541,PRIMARY,Tumor21
MB-REC-10 -P,0.21021021,PRIMARY,Tumor8
ABSJ112017MB1-R,2.089552239,RECURRENT,Tumor44-R
ABSJ112017MB1-P,1.835820896,PRIMARY,Tumor44
ABSJ112017MB4-R  ,3.134328358,RECURRENT,Tumor45-R
ABSJ112017MB4-P ,1.776119403,PRIMARY,Tumor45
ABSJ112017MB7-P ,2.373134328,PRIMARY,Tumor46
ABSJ112017MB9-P,1.402985075,PRIMARY,Tumor47
ABSJ112017MB11-P,1.417910448,PRIMARY,Tumor48
ABSJ112017MB14-P,1.194029851,PRIMARY,Tumor49
ABSJ112017MB17-P  ,1.23880597,PRIMARY,Tumor50
 ABSJ112017MB19-P,1.492537313,PRIMARY,Tumor51
ABSJ112017MB21-P,1.402985075,PRIMARY,Tumor52
ABSJ112017MB24-R   ,2.776119403,RECURRENT,Tumor53
ABSJ112017MB25-P,2.253731343,PRIMARY,Tumor54
ABSJ112017MB28-P,1.656716418,PRIMARY,Tumor55
ABSJ112017MB27-P,1.268656716,PRIMARY,Tumor56
ABSJ112017MB29-R ,2.373134328,RECURRENT,Tumor57
ABSJ052018CHTN-1-P   ,1.28358209,PRIMARY,Tumor58
ABSJ052018CHTN-1-R  ,2.328358209,RECURRENT,Tumor58-R
ABSJ052018CHTN-2-P,1.373134328,PRIMARY,Tumor59
ABSJ052018CHTN-3-P,1.641791045,PRIMARY,Tumor60
ABSJ052018CHTN-3-R     ,1.895522388,RECURRENT,Tumor60-R
ABSJ052018CHTN-4-R,1.23880597,RECURRENT,Tumor15-R
ABSJ052018CHTN-5-P   ,1.044776119,PRIMARY,Tumor61
ABSJ052018CHTN-5-R,2.71641791,RECURRENT,Tumor61-R
ABSJ052018CHTN-6-P    ,0.925373134,PRIMARY,Tumor62
ABSJ052018CHTN-6-R   ,1.089552239,RECURRENT,Tumor62-R
ABSJ052018CHTN-8-R   ,2.820895522,RECURRENT,Tumor63
ABSJ052018CHTN-9-R  ,1.402985075,RECURRENT,Tumor64-R
ABSJ052018CHTN-9-P,1.194029851,PRIMARY,Tumor64
